"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2016","2,238.83","2,251.61","2,253.58","2,233.62","-","-0.46%"
"Dec 29, 2016","2,249.26","2,249.50","2,254.51","2,244.56","-","-0.03%"
"Dec 28, 2016","2,249.92","2,270.23","2,271.31","2,249.11","-","-0.84%"
"Dec 27, 2016","2,268.88","2,266.23","2,273.82","2,266.15","-","0.22%"
"Dec 23, 2016","2,263.79","2,260.25","2,263.79","2,258.84","-","0.13%"
"Dec 22, 2016","2,260.96","2,262.93","2,263.18","2,256.08","-","-0.19%"
"Dec 21, 2016","2,265.18","2,270.54","2,271.23","2,265.15","-","-0.25%"
"Dec 20, 2016","2,270.76","2,266.50","2,272.56","2,266.14","-","0.36%"
"Dec 19, 2016","2,262.53","2,259.24","2,267.47","2,258.21","-","0.20%"
"Dec 16, 2016","2,258.07","2,266.81","2,268.05","2,254.24","-","-0.18%"
"Dec 15, 2016","2,262.03","2,253.77","2,272.12","2,253.77","-","0.39%"
"Dec 14, 2016","2,253.28","2,268.35","2,276.20","2,248.44","-","-0.81%"
"Dec 13, 2016","2,271.72","2,263.32","2,277.53","2,263.32","-","0.65%"
"Dec 12, 2016","2,256.96","2,258.83","2,264.03","2,252.37","-","-0.11%"
"Dec 09, 2016","2,259.53","2,249.73","2,259.80","2,249.23","-","0.59%"
"Dec 08, 2016","2,246.19","2,241.13","2,251.69","2,237.57","-","0.22%"
"Dec 07, 2016","2,241.35","2,210.72","2,241.63","2,208.93","-","1.32%"
"Dec 06, 2016","2,212.23","2,207.26","2,212.78","2,202.21","-","0.34%"
"Dec 05, 2016","2,204.71","2,200.65","2,209.42","2,199.97","-","0.58%"
"Dec 02, 2016","2,191.95","2,191.12","2,197.95","2,188.37","-","0.04%"
"Dec 01, 2016","2,191.08","2,200.17","2,202.60","2,187.44","-","-0.35%"
"Nov 30, 2016","2,198.81","2,204.97","2,214.10","2,198.81","-","-0.27%"
"Nov 29, 2016","2,204.66","2,200.76","2,210.46","2,198.15","-","0.13%"
"Nov 28, 2016","2,201.72","2,210.21","2,211.14","2,200.36","-","-0.53%"
"Nov 25, 2016","2,213.35","2,206.27","2,213.35","2,206.27","-","0.39%"
"Nov 23, 2016","2,204.72","2,198.55","2,204.72","2,194.51","-","0.08%"
"Nov 22, 2016","2,202.94","2,201.56","2,204.80","2,194.51","-","0.22%"
"Nov 21, 2016","2,198.18","2,186.43","2,198.70","2,186.43","-","0.75%"
"Nov 18, 2016","2,181.90","2,186.85","2,189.89","2,180.38","-","-0.24%"
"Nov 17, 2016","2,187.12","2,178.61","2,188.06","2,176.65","-","0.47%"
"Nov 16, 2016","2,176.94","2,177.53","2,179.22","2,172.20","-","-0.16%"
"Nov 15, 2016","2,180.39","2,168.29","2,180.84","2,166.38","-","0.75%"
"Nov 14, 2016","2,164.20","2,165.64","2,171.36","2,156.08","-","-0.01%"
"Nov 11, 2016","2,164.45","2,162.71","2,165.92","2,152.49","-","-0.14%"
"Nov 10, 2016","2,167.48","2,167.49","2,182.30","2,151.17","-","0.20%"
"Nov 09, 2016","2,163.26","2,131.56","2,170.10","2,125.35","-","1.11%"
"Nov 08, 2016","2,139.56","2,129.92","2,146.87","2,123.56","-","0.38%"
"Nov 07, 2016","2,131.52","2,100.59","2,132.00","2,100.59","-","2.22%"
"Nov 04, 2016","2,085.18","2,083.79","2,099.07","2,083.79","-","-0.17%"
"Nov 03, 2016","2,088.66","2,098.80","2,102.56","2,085.23","-","-0.44%"
"Nov 02, 2016","2,097.94","2,109.43","2,111.76","2,094.00","-","-0.65%"
"Nov 01, 2016","2,111.72","2,128.68","2,131.45","2,097.85","-","-0.68%"
"Oct 31, 2016","2,126.15","2,129.78","2,133.25","2,125.53","-","-0.01%"
"Oct 28, 2016","2,126.41","2,132.23","2,140.72","2,119.36","-","-0.31%"
"Oct 27, 2016","2,133.04","2,144.06","2,147.13","2,132.52","-","-0.30%"
"Oct 26, 2016","2,139.43","2,136.97","2,145.73","2,131.59","-","-0.17%"
"Oct 25, 2016","2,143.16","2,149.72","2,151.44","2,141.93","-","-0.38%"
"Oct 24, 2016","2,151.33","2,148.50","2,154.79","2,146.91","-","0.47%"
"Oct 21, 2016","2,141.16","2,139.43","2,142.63","2,130.09","-","-0.01%"
"Oct 20, 2016","2,141.34","2,142.51","2,147.18","2,133.44","-","-0.14%"
"Oct 19, 2016","2,144.29","2,140.81","2,148.44","2,138.15","-","0.22%"
"Oct 18, 2016","2,139.60","2,138.31","2,144.38","2,135.49","-","0.62%"
"Oct 17, 2016","2,126.50","2,132.95","2,135.61","2,124.43","-","-0.30%"
"Oct 14, 2016","2,132.98","2,139.68","2,149.19","2,132.98","-","0.02%"
"Oct 13, 2016","2,132.55","2,130.26","2,138.19","2,114.72","-","-0.31%"
"Oct 12, 2016","2,139.18","2,137.67","2,145.36","2,132.77","-","0.11%"
"Oct 11, 2016","2,136.73","2,161.35","2,161.56","2,128.84","-","-1.24%"
"Oct 10, 2016","2,163.66","2,160.39","2,169.60","2,160.39","-","0.46%"
"Oct 07, 2016","2,153.74","2,164.19","2,165.86","2,144.85","-","-0.33%"
"Oct 06, 2016","2,160.77","2,158.22","2,162.93","2,150.28","-","0.05%"
"Oct 05, 2016","2,159.73","2,155.15","2,163.95","2,155.15","-","0.43%"
"Oct 04, 2016","2,150.49","2,163.37","2,165.46","2,144.01","-","-0.50%"
"Oct 03, 2016","2,161.20","2,164.33","2,164.41","2,154.77","-","-0.33%"
"Sep 30, 2016","2,168.27","2,156.51","2,175.30","2,156.51","-","0.80%"
"Sep 29, 2016","2,151.13","2,168.90","2,172.67","2,145.20","-","-0.93%"
"Sep 28, 2016","2,171.37","2,161.85","2,172.40","2,151.79","-","0.53%"
"Sep 27, 2016","2,159.93","2,146.04","2,161.13","2,141.55","-","0.64%"
"Sep 26, 2016","2,146.10","2,158.54","2,158.54","2,145.04","-","-0.86%"
"Sep 23, 2016","2,164.69","2,173.29","2,173.75","2,163.97","-","-0.57%"
"Sep 22, 2016","2,177.18","2,170.94","2,179.99","2,170.94","-","0.65%"
"Sep 21, 2016","2,163.12","2,144.58","2,165.11","2,139.57","-","1.09%"
"Sep 20, 2016","2,139.76","2,145.94","2,150.80","2,139.17","-","0.03%"
"Sep 19, 2016","2,139.12","2,143.99","2,153.61","2,135.91","-","-0.00%"
"Sep 16, 2016","2,139.16","2,146.48","2,146.48","2,131.20","-","-0.38%"
"Sep 15, 2016","2,147.26","2,125.36","2,151.31","2,122.36","-","1.01%"
"Sep 14, 2016","2,125.77","2,127.86","2,141.33","2,119.90","-","-0.06%"
"Sep 13, 2016","2,127.02","2,150.47","2,150.47","2,120.27","-","-1.48%"
"Sep 12, 2016","2,159.04","2,120.86","2,163.30","2,119.12","-","1.47%"
"Sep 09, 2016","2,127.81","2,169.08","2,169.08","2,127.81","-","-2.45%"
"Sep 08, 2016","2,181.30","2,182.76","2,184.94","2,177.49","-","-0.22%"
"Sep 07, 2016","2,186.16","2,185.17","2,187.87","2,179.07","-","-0.01%"
"Sep 06, 2016","2,186.48","2,181.61","2,186.57","2,175.10","-","0.30%"
"Sep 02, 2016","2,179.98","2,177.49","2,184.87","2,173.59","-","0.42%"
"Sep 01, 2016","2,170.86","2,171.33","2,173.56","2,157.09","-","-0.00%"
"Aug 31, 2016","2,170.95","2,173.56","2,173.79","2,161.35","-","-0.24%"
"Aug 30, 2016","2,176.12","2,179.45","2,182.27","2,170.41","-","-0.20%"
"Aug 29, 2016","2,180.38","2,170.19","2,183.48","2,170.19","-","0.52%"
"Aug 26, 2016","2,169.04","2,175.10","2,187.94","2,160.39","-","-0.16%"
"Aug 25, 2016","2,172.47","2,173.29","2,179.00","2,169.74","-","-0.14%"
"Aug 24, 2016","2,175.44","2,185.09","2,186.66","2,171.25","-","-0.52%"
"Aug 23, 2016","2,186.90","2,187.81","2,193.42","2,186.80","-","0.20%"
"Aug 22, 2016","2,182.64","2,181.58","2,185.15","2,175.96","-","-0.06%"
